108802552_358257505	TULEX Плоскогубцы 5001020 комбинированные 200мм	Tulex	3698	1
134420617_944368339	Tulex совковая лопата 0011603, рессорно-пружинная сталь	Tulex	5600	1
561092866	Шпатель фасадный Tulex 150 мм, нержавеющая сталь арт. Шпатель фасадный TULEX 3001215-1	tulex	750	1
109947165_753441784	Коронка Эксперт 1425-14 1 шт	Эксперт	1100	1
110167704_851531216	Минеральный утеплитель Knauf стекловата TS 040 Aquastatik 1300x610x50 мм	Knauf	13000	1
907689642	Эксперт рулетка строительная 7603, 3 м х 16 мм	ekspert	1200	1
101274644_264074946	Эксперт молоток ЭКСПЕРТ 593-02	Эксперт	2300	1
100070870_003136306	Краска Alina Paint водоэмульсионная Optima 15 кг, белый цвет	alina-paint	13750	2
152652415_018239590	Эксперт штыковая лопата 0001-1, рельсовая сталь	Эксперт	1500	2
116310198_921732092	Универсальный Эксперт 8118 красный	Эксперт	790	5
107444538_607672517	PUFAS концентрат-колер, 13 травянисто зеленый, 20 мл	PUFAS	1990	10
578921418	Кисть плоская (КП) Эксперт 75 мм, 12 шт. арт.12075	ekspert	1500	12
364373341	Akfix краска AKFIX Краска спрей глянцевая оранжевая RAL2008 400ml тон оранжевый, 400 мл	akfix	2500	6
101250577_719073064	PUFAS концентрат-колер, 15 оливково-зеленый, 20 мл	pufas	1990	11
109455325_075883639	Сверло Эксперт 143-140-11, 1 шт.	Эксперт	390	1
142982050_158250916	ExProfil саморез по дереву (4.2х70 мм), 70 шт.	exprofil	500	27
113693990_327105767	Смазка силиконовая IRFIX 40022 0.15 л	IRFIX	1300	11
309475130	Диск отрезной алмазный 125x22.2х10 мм, Tulex Диск алмазный сплошной TULEX 125х22.2мм 8013125	tulex	2900	1
101601149_279287638	Akfix пена 805 монтажная, 750 мл 1 шт	akfix	3200	8
107443622_042216071	PUFAS концентрат-колер, 7 канареечно-желтый, 20 мл	PUFAS	1990	10
112205318_096168109	Tulex ножовка по дереву 5011045	Tulex	3440	1
146458349_329657712	ExProfil дюбель-нагель монтажный, универсальный 6х60 мм, 100 шт	exprofil	900	26
139090895_410787932	Шлифмашина угловая Tulex TG-230-2.4	Tulex	38000	1
131425963_627023999	Шпатель фасадный Tulex 600 мм, нержавеющая сталь арт. 3001260	Tulex	1450	1
152630502_837289859	Шлифовальный круг Tulex 125 мм, абразивный материал Р400, 5 шт. арт. 85201-125-400	Tulex	355	1
136615500_914394406	TYTAN клей-пена TYTAN пена-клей ПРОФ быстрый, универсальный, 60 сек, 750 мл, 750 мл 1 шт	tytan	4490	59
113094556_191931523	Сверло Tulex по керамической плитке 6011406 6 мм, 1 шт.	Tulex	1150	1
138729201_225706111	Герметик Akfix SA041, цвет прозрачный 280 мл	Akfix	2150	24
108408561_663183580	Akfix клей-аэрозоль 705 GA065B 400 мл бесцветный	akfix	2800	24
101600059_670225089	Эксперт 752-040 40 см	Эксперт	2900	1
107454216_476608924	PUFAS концентрат-колер, 43 молодая зелень, 20 мл	PUFAS	1990	10
106193214_605302810	Кисть плоская (КП) Эксперт 38 мм, 1 шт. арт.12038	Эксперт	490	12
103188703_334435956	Кисть плоская (КП) Эксперт 50 мм, 1 шт. арт.16050	Эксперт	890	12
100306277_595216768	Эксперт 172-115 115х22.2 мм	Эксперт	1700	1
133415605_484591851	Многофункциональный инструмент Tulex TRC-400	Tulex	21900	1
4740572	Akfix эмаль глянцевая Аэрозольная акриловая краска Akfix RAL 1003, желтая глянцевая, 400 мл 0.4 л, тон желтый	akfix	1500	6
110063249_640411529	Диск отрезной алмазный 180x22.2х1.8 мм, Tulex 8011180	Tulex	4600	1
105870690_349767095	Сверло Эксперт 143-092-06 6x93 мм	Эксперт	210	1
118159725_514893646	Akfix краска SP423057 тон 6005 зеленый мох, 400 мл	akfix	1400	6
609213296	Лом-гвоздодер Эксперт 51318-60, 1	ekspert	3500	1
114975187_868789903	Шпатель фасадный Эксперт 200 мм, нержавеющая сталь арт. 3120	Эксперт	780	1
101274619_009737986	Эксперт молоток слесарный ЭКСПЕРТ 59002-08	Эксперт	3500	1
606170049	Шуруп по гипсокартону (4.2х13 мм), 100 шт.		900	40
159532069_958231856	Штыковая лопата Capstone 90111-0, нержавеющая сталь	Capstone	2350	2
713512265	Эксперт рулетка строительная 7375, 7.5 м х 25 мм	ekspert	2200	1
105590274_458440585	Шпатель зубчатый Эксперт 350 мм, нержавеющая сталь арт. 3235	Эксперт	799	1
148531592_064715056	Краскопульт Tulex TSG-500	Tulex	17900	1
109798881_130556513	Профиль Кармет стоечный ПС 75/50	Кармет	1660	98
100624923_439747891	Alina Paint эмаль матовая Emalika 1 кг, тон белый	Alina Paint	4500	3
110677840_996968627	Эксперт кирка 5102-60	Эксперт	4900	1
104767753_492504035	Герметик Penosil Premium Bitum Sealant, цвет черный 280 мл	Penosil	2200	12
145178323_056361349	Клей Wantong.kz двухкомпонентный MITREAPEL 400 мл	wantong-kz	2100	27
